paper_id,title,abstract,authors,year,document_type,venue,persistent_id,category_codes,african_relevance,source_url,download_urls,license_status,citation_count,citation_percentile,relevance_score,source_quality,is_retracted,metrics_date
MUFASA-000021,Sustainable Nanohybrid Coating from Sugarcane-Bagasse Silica and F. sycomorus Extract for Long-Term Corrosion Resistance of Metal Surfaces,"The study reports a sustainable nanohybrid coating that integrates biogenic silica nanoparticles (SiO2 NPs) from sugarcane bagasse with Ficus sycomorus leaf extract in an epoxy matrix to protect metal surfaces against corrosion. Silica was prepared by a sol–gel route from acid-leached bagasse ash and characterized usingFT-IR, XRD and SEM. The SiO2 NPs were amorphous and silanol-rich, forming strong interfacial interactions with epoxy and creating a dense, tortuous barrier. The F. sycomorus extract, rich in phenolics, flavonoids, and alkaloids, served as a green inhibitor via adsorption and metal-ion complexation. Coatings containing only extract (P), only silica (NP), and the combined nanohybrid (NH) were applied to tin-plate and evaluated by neutral salt spray (up to 360 h) and NaCl immersion. Relative to neat epoxy, all modified films reduced degradation, with NH performing best: rust creep <1 mm and corroded area =3% at 360 h, versus ~7 mm and >50% for the control; P and NP were intermediate (creep =3 mm, area =16–18%). Immersion testing showed corrosion-rate suppression from ~1.0×10?4 mm·h?¹ (control) to <2.0×10?5 mm·h?¹ (NH) with inhibition efficiency >80%; NP and P achieved ~60% and ~40%, respectively. Kinetic analysis confirmed diffusion-controlled growth for all systems, with parabolic rate constants k? decreasing from 0.0998 (control) to 0.00007 mm²·h?¹ (NH), and power-law exponents n ˜ 0.4–0.5. The synergy between SiO2-induced barrier densification and bio-extract chemisorption/passivation underpins the gains in durability. Leveraging agricultural waste and plant-derived inhibitors, this nanohybrid advances circular-economy coatings while delivering high corrosion resistance in saline environments.",Thompson Izuagie; Yusuf Salihu; Shehu Umar; Olumuyiwa Oyekunle Akintola,2025,conference_paper,10th Annual Symposium of the American Chemical Society (ACS) Nigeria International Chemical Sciences Chapter,doi:10.55455/acsnigeria.1.2.159-168,MAT-RES-001; MAT-RES-003,NG; african_material; local_resource,https://acsnigeria.org/publications/proceedings/10th-annual-symposium-of-the-american-chemical-society-acs-nigeria-international-chemical-sciences-chapter/,https://acsnigeria.org/wp-content/uploads/2025/11/159-168_MN042_TI-2.pdf,all-rights-reserved | not_allowed,,,0.99,conference,FALSE,7/12/2026
MUFASA-000022,"Characterization and Evaluation of Kaolinite Clays from Bara, Kwi, and Wereng in Bauchi and Plateau States for Refractory Applications","The evaluation of physical and chemical properties of clay deposits from Bara, Kwi, and Wereng villages in Bauchi and Plateau States, Northern Nigeria, with a focus on their potential as locally made refractory materials. The chemical composition of the clay was determined using Energy Dispersive X-ray Fluorescence Spectrophotometry (ED-XRF), while physical properties: moisture content (MC), color, pH, tapped density (TD), and refractoriness were determined using standard techniques. Clay bricks was fabricated from the clay samples and fired at intermittent temperature ranging from 150 °C to 600 °C for ten-minute intervals. The analysis of the chemical composition indicated Bara and Wereng clays contain over 70 % of SiO2 and Al2O3, while Kwi clay comprises approximately 60 % of SiO2 and Al2O3. The Physical properties range across the clay samples revealed pH(4.40-5.20), MC(3.30-4.40 %), TD(0.96-1.11 g/ml), (white to reddish-brown and near-white color), and refractoriness temperature (1526-1597 °C) for Bara, Kwi and Weng respectively. The firing of the sample bricks produced resulted in progressive weight losses. The findings unveiled the valuable potential of these clay deposits in refractory production for both domestic and industrial applications thereby cutting down the huge cost of imported refractory material and enhance their performance. Purifications and blend formulations studies of these clay materials can further enhance their refractory potential and properties. These studies lined with the MDGs/SDGs vision 2030 for social, environmental and global economic growth for industrial innovation and infrastructure development and sustainability.",Mohammed Ibrahim; Ser Nanriebet Goeffrey; Samuel Emmanuel Egga; John Rople Gungshik; Shangkum Yildun Goji; Saraya Akubel Yakubu,2025,conference_paper,10th Annual Symposium of the American Chemical Society (ACS) Nigeria International Chemical Sciences Chapter,doi:10.55455/acsnigeria.1.2.196-205,MAT-MIN-003; MAT-BLD-001,NG; african_material; local_resource; african_industrial_problem,https://acsnigeria.org/publications/proceedings/10th-annual-symposium-of-the-american-chemical-society-acs-nigeria-international-chemical-sciences-chapter/,https://acsnigeria.org/wp-content/uploads/2025/11/196-205_MN014-1.pdf,all-rights-reserved | not_allowed,,,1,conference,FALSE,7/12/2026
MUFASA-000023,IMPACTS OF CIVIL ENGINEERING INFRASTRUCTURES IN THE SUSTAINABILITY OF THE ENVIRONMENT,"Sustainability is a critical goal for Civil Engineers, human activity, construction projects and national development. This paper x-rays various impacts of infrastructures with special focus on the planning, maintenance and implementation of civil infrastructures that preserve natural environment. The research methodology for this study includes interaction with professionals, review of literatures; reconnaissance survey of housing units using Ado-Ekiti as a case study. Information obtained was used to get an overview of the existing Environment. The study revealed that civil engineering infrastructure development projects impacted greatly on the environment especially in areas of flooding, dilapidated roads, noise pollution, water pollution, erosion, ecological disorder, decrease in size of available land and natural hazards. In the study area, 11.0% lives in compound buildings, 4.5% lives in duplex, while 7.0% lives in storey buildings. Significant number of residents in the study area lives in rooming housing units with low income per month and as such was denied of the benefits of well furnished and quality buildings. Conclusions are provided related both to pathways for engineering sustainability and to the broader ultimate objective of sustainability. Flooding can be averted and housing units can be improved by Civil Engineering interventions. Based on the findings, recommendations were made for the elimination of the negative effects and for the achievement of sustainable construction, innovative civil engineering infrastructure, national and socio-economic development.",Oluwadare Joshua Oyebode,2019,conference_paper,17th Nigerian Institution of Civil Engineers (NICE) International Conference and AGM (PEACE 2019),,MAT-INF-001; MAT-BLD-003,NG; african_environment; african_industrial_problem; african_experimental_conditions,https://eprints.abuad.edu.ng/895/,https://eprints.abuad.edu.ng/895/1/ENGR.OYEBODENICENOVPAPER2019ImpactsofCivilEngineeringontheEnvironment.pdf,unknown | review_required,,,0.88,conference,FALSE,7/12/2026
MUFASA-000024,A Blend of Pineapple Crown Extract and Red Onion Skin Extract as Green Corrosion Inhibitors,,C. R. Emeka; Toyin Odutola; S. P. Ejobona,2025,conference_paper,SPE Nigeria Annual International Conference and Exhibition (NAICE),doi:10.2118/228713-MS,MAT-RES-003; MAT-RES-001,NG; african_material; local_resource; african_industrial_problem,https://doi.org/10.2118/228713-MS,,unknown | review_required,,,,conference,FALSE,7/12/2026
MUFASA-000025,Nanotechnology-Enabled Coatings for Mitigating Scale and Corrosion in Oilfield Pipelines,,H. O. Ezeoke; J. E. Okeke; S. O. Ogboro,2025,conference_paper,SPE Nigeria Annual International Conference and Exhibition (NAICE),doi:10.2118/228774-MS,MAT-RES-003; MAT-INF-001,NG; african_industrial_problem,https://doi.org/10.2118/228774-MS,,unknown | review_required,,,,conference,FALSE,7/12/2026
MUFASA-000026,Environmental and economic considerations for the decommissioning of oil and gas infrastructure in Nigeria,,M. Ayeni; I. Iyalla; R. Mahon,2024,conference_paper,SPE Nigeria Annual International Conference and Exhibition (NAICE),doi:10.2118/223134-MS,MAT-INF-001; MAT-RES-002,NG; african_industrial_problem; african_experimental_conditions,https://rgu-repository.worktribe.com/output/2474889/environmental-and-economic-considerations-for-the-decommissioning-of-oil-and-gas-infrastructure-in-nigeria,,unknown | review_required,,,,conference,FALSE,7/12/2026
MUFASA-000027,Experimental Investigation of the Effects of Different Environmental Conditions on Pipelines Corrosion Rates,,Olusiji Ayoade Adeyanju; Layioye Ola Oyekunle,2019,conference_paper,SPE Nigeria Annual International Conference and Exhibition (NAICE),doi:10.2118/198708-MS,MAT-RES-003; MAT-INF-001,NG; african_environment; african_experimental_conditions; african_industrial_problem,https://doi.org/10.2118/198708-MS,https://api-ir.unilag.edu.ng/server/api/core/bitstreams/07bfb4c2-17bb-4926-a3c6-77ac556cb80b/content,unknown | review_required,,,,conference,FALSE,7/12/2026
MUFASA-000028,Virtual Pipeline Technology in Nigeria: Technical and Economic Analysis,,Princewill Ikpeka; Sunday Ikiensikimama,2016,conference_paper,SPE Nigeria Annual International Conference and Exhibition (NAICE),doi:10.2118/184232-MS,MAT-INF-001; MAT-MAN-001,NG; african_industrial_problem; african_experimental_conditions,https://research.tees.ac.uk/en/publications/virtual-pipeline-technology-in-nigeria-technical-and-economic-ana/,,unknown | review_required,,,,conference,FALSE,7/12/2026
MUFASA-000029,Comparative Assessment of Properties of Laterite and Clay of Otukpo in Benue State for Suitability in Making Bricks and Geopolymer Cement for A Green Environment,,Idongesit Nnammonso Akpan; Mutah Wadai,2025,conference_paper,10th Annual Symposium of the American Chemical Society (ACS) Nigeria International Chemical Sciences Chapter,,MAT-BLD-001; MAT-MIN-003,NG; african_material; local_resource,https://acsnigeria.org/publications/proceedings/10th-annual-symposium-of-the-american-chemical-society-acs-nigeria-international-chemical-sciences-chapter/,,unknown | review_required,,,,conference,FALSE,7/12/2026
MUFASA-000030,Comparative Analysis for Corrosion Inhibition on Mild Steel by Seed and Stem of Anogeisuss leiocarpus in Acidic Medium,,Sunday John Ibejekwe; Uche Basil Eke; Sunday Enenche Elaigwu,2025,conference_paper,10th Annual Symposium of the American Chemical Society (ACS) Nigeria International Chemical Sciences Chapter,doi:10.55455/acsnigeria.1.2.188-195,MAT-RES-003; MAT-RES-001,NG; african_material; local_resource,https://acsnigeria.org/publications/proceedings/10th-annual-symposium-of-the-american-chemical-society-acs-nigeria-international-chemical-sciences-chapter/,https://acsnigeria.org/wp-content/uploads/2025/11/188-195_MN039-2.pdf,all-rights-reserved | not_allowed,,,,conference,FALSE,7/12/2026
