body,target,eligible_records,shortfall,reason
SPE Nigeria Council / NAICE,5,5,0,
ACS Nigeria Annual Symposium,5,5,0,
IEEE Nigeria / NIGERCON,5,0,5,"Indexed Nigeria-specific papers were power/ICT/AI, outside the defined MAT codes; no defensible African-MAT paper found"
ASCE Nigeria Sustainable Infrastructure Conference,5,0,5,"Official event sources expose themes and programmes but no verifiable paper-level titles/authors"
Materials Science and Technology Society of Nigeria / NIMACON,5,5,0,
Nigerian Building and Road Research Institute conferences,5,5,0,
Nigerian Society of Engineers conference,5,5,0,
Nigerian Institution of Civil Engineers conferences,5,5,0,
Nigerian Institution of Highway and Transportation Engineers,5,5,0,
Nigerian Institution of Structural Engineers conferences,5,4,1,"Only four defensible African-MAT conference papers were verified"
